date,home_team,away_team,home_score,away_score,tournament,stage,neutral,year
1998-06-13,South Korea,Mexico,1,3,FIFA World Cup,group,True,1998
1998-06-13,Netherlands,Belgium,0,0,FIFA World Cup,group,True,1998
1998-06-14,Yugoslavia,Iran,1,0,FIFA World Cup,group,True,1998
1998-06-14,Jamaica,Croatia,1,3,FIFA World Cup,group,True,1998
1998-06-14,Argentina,Japan,1,0,FIFA World Cup,group,True,1998
1998-06-15,Romania,Colombia,1,0,FIFA World Cup,group,True,1998
1998-06-15,Germany,United States,2,0,FIFA World Cup,group,True,1998
1998-06-15,England,Tunisia,2,0,FIFA World Cup,group,True,1998
1998-06-16,Brazil,Morocco,3,0,FIFA World Cup,group,True,1998
1998-06-16,Scotland,Norway,1,1,FIFA World Cup,group,True,1998
1998-06-17,Chile,Austria,1,1,FIFA World Cup,group,True,1998
1998-06-17,Italy,Cameroon,3,0,FIFA World Cup,group,True,1998
1998-06-18,South Africa,Denmark,1,1,FIFA World Cup,group,True,1998
1998-06-18,France,Saudi Arabia,4,0,FIFA World Cup,group,True,1998
1998-06-19,Nigeria,Bulgaria,1,0,FIFA World Cup,group,True,1998
1998-06-19,Spain,Paraguay,0,0,FIFA World Cup,group,True,1998
1998-06-20,Japan,Croatia,0,1,FIFA World Cup,group,True,1998
1998-06-20,Belgium,Mexico,2,2,FIFA World Cup,group,True,1998
1998-06-20,Netherlands,South Korea,5,0,FIFA World Cup,group,True,1998
1998-06-21,Argentina,Jamaica,5,0,FIFA World Cup,group,True,1998
1998-06-21,United States,Iran,1,2,FIFA World Cup,group,True,1998
1998-06-21,Germany,Yugoslavia,2,2,FIFA World Cup,group,True,1998
1998-06-22,Colombia,Tunisia,1,0,FIFA World Cup,group,True,1998
1998-06-22,Romania,England,2,1,FIFA World Cup,group,True,1998
1998-06-23,Chile,Cameroon,1,1,FIFA World Cup,group,True,1998
1998-06-23,Italy,Austria,2,1,FIFA World Cup,group,True,1998
1998-06-23,Brazil,Norway,1,2,FIFA World Cup,group,True,1998
1998-06-23,Scotland,Morocco,0,3,FIFA World Cup,group,True,1998
1998-06-24,France,Denmark,2,1,FIFA World Cup,group,True,1998
1998-06-24,South Africa,Saudi Arabia,2,2,FIFA World Cup,group,True,1998
1998-06-24,Nigeria,Paraguay,1,3,FIFA World Cup,group,True,1998
1998-06-24,Spain,Bulgaria,6,1,FIFA World Cup,group,True,1998
1998-06-25,United States,Yugoslavia,0,1,FIFA World Cup,group,True,1998
1998-06-25,Germany,Iran,2,0,FIFA World Cup,group,True,1998
1998-06-25,Netherlands,Mexico,2,2,FIFA World Cup,group,True,1998
1998-06-25,Belgium,South Korea,1,1,FIFA World Cup,group,True,1998
1998-06-26,Argentina,Croatia,1,0,FIFA World Cup,group,True,1998
1998-06-26,Japan,Jamaica,1,2,FIFA World Cup,group,True,1998
1998-06-26,Colombia,England,0,2,FIFA World Cup,group,True,1998
1998-06-26,Romania,Tunisia,1,1,FIFA World Cup,group,True,1998
1998-06-27,Italy,Norway,1,0,FIFA World Cup,round of 16,True,1998
1998-06-27,Brazil,Chile,4,1,FIFA World Cup,round of 16,True,1998
1998-06-28,France,Paraguay,1,0,FIFA World Cup,round of 16,True,1998
1998-06-28,Nigeria,Denmark,1,4,FIFA World Cup,round of 16,True,1998
1998-06-29,Germany,Mexico,2,1,FIFA World Cup,round of 16,True,1998
1998-06-29,Netherlands,Yugoslavia,2,1,FIFA World Cup,round of 16,True,1998
1998-06-30,Argentina,England,2,2,FIFA World Cup,round of 16,True,1998
1998-06-30,Romania,Croatia,0,1,FIFA World Cup,round of 16,True,1998
1998-07-03,Italy,France,0,0,FIFA World Cup,quarter-final,True,1998
1998-07-03,Brazil,Denmark,3,2,FIFA World Cup,quarter-final,True,1998
1998-07-04,Netherlands,Argentina,2,1,FIFA World Cup,quarter-final,True,1998
1998-07-04,Germany,Croatia,0,3,FIFA World Cup,quarter-final,True,1998
1998-07-07,Brazil,Netherlands,1,1,FIFA World Cup,semi-final,True,1998
1998-07-08,France,Croatia,2,1,FIFA World Cup,semi-final,True,1998
1998-07-11,Netherlands,Croatia,1,2,FIFA World Cup,third-place,True,1998
1998-07-12,Brazil,France,0,3,FIFA World Cup,final,True,1998
1999-06-19,Japan,Canada,1,1,FIFA World Cup,group,True,1999
1999-06-19,Brazil,Mexico,7,1,FIFA World Cup,group,True,1999
1999-06-19,United States,Denmark,3,0,FIFA World Cup,group,True,1999
1999-06-19,China,Sweden,2,1,FIFA World Cup,group,True,1999
1999-06-20,Germany,Italy,1,1,FIFA World Cup,group,True,1999
1999-06-20,Norway,Russia,2,1,FIFA World Cup,group,True,1999
1999-06-20,North Korea,Nigeria,1,2,FIFA World Cup,group,True,1999
1999-06-20,Australia,Ghana,1,1,FIFA World Cup,group,True,1999
1999-06-23,Japan,Russia,0,5,FIFA World Cup,group,True,1999
1999-06-23,Norway,Canada,7,1,FIFA World Cup,group,True,1999
1999-06-23,Australia,Sweden,1,3,FIFA World Cup,group,True,1999
1999-06-23,China,Ghana,7,0,FIFA World Cup,group,True,1999
1999-06-24,Germany,Mexico,6,0,FIFA World Cup,group,True,1999
1999-06-24,United States,Nigeria,7,1,FIFA World Cup,group,True,1999
1999-06-24,North Korea,Denmark,3,1,FIFA World Cup,group,True,1999
1999-06-24,Brazil,Italy,2,0,FIFA World Cup,group,True,1999
1999-06-26,Canada,Russia,1,4,FIFA World Cup,group,True,1999
1999-06-26,China,Australia,3,1,FIFA World Cup,group,True,1999
1999-06-26,Ghana,Sweden,0,2,FIFA World Cup,group,True,1999
1999-06-26,Norway,Japan,4,0,FIFA World Cup,group,True,1999
1999-06-27,Germany,Brazil,3,3,FIFA World Cup,group,True,1999
1999-06-27,Nigeria,Denmark,2,0,FIFA World Cup,group,True,1999
1999-06-27,Mexico,Italy,0,2,FIFA World Cup,group,True,1999
1999-06-27,United States,North Korea,3,0,FIFA World Cup,group,True,1999
1999-06-30,Norway,Sweden,3,1,FIFA World Cup,group,True,1999
1999-06-30,China,Russia,2,0,FIFA World Cup,group,True,1999
1999-07-01,United States,Germany,3,2,FIFA World Cup,group,True,1999
1999-07-01,Brazil,Nigeria,4,3,FIFA World Cup,group,True,1999
1999-07-04,United States,Brazil,2,0,FIFA World Cup,group,True,1999
1999-07-04,Norway,China,0,5,FIFA World Cup,group,True,1999
1999-07-10,Brazil,Norway,0,0,FIFA World Cup,third-place,True,1999
1999-07-10,United States,China,0,0,FIFA World Cup,final,True,1999
2002-05-31,France,Senegal,0,1,FIFA World Cup,group,True,2002
2002-06-01,Germany,Saudi Arabia,8,0,FIFA World Cup,group,True,2002
2002-06-01,Uruguay,Denmark,1,2,FIFA World Cup,group,True,2002
2002-06-01,Republic of Ireland,Cameroon,1,1,FIFA World Cup,group,True,2002
2002-06-02,Argentina,Nigeria,1,0,FIFA World Cup,group,True,2002
2002-06-02,Paraguay,South Africa,2,2,FIFA World Cup,group,True,2002
2002-06-02,England,Sweden,1,1,FIFA World Cup,group,True,2002
2002-06-02,Spain,Slovenia,3,1,FIFA World Cup,group,True,2002
2002-06-03,Croatia,Mexico,0,1,FIFA World Cup,group,True,2002
2002-06-03,Brazil,Turkey,2,1,FIFA World Cup,group,True,2002
2002-06-03,Italy,Ecuador,2,0,FIFA World Cup,group,True,2002
2002-06-04,Japan,Belgium,2,2,FIFA World Cup,group,True,2002
2002-06-04,South Korea,Poland,2,0,FIFA World Cup,group,True,2002
2002-06-04,China,Costa Rica,0,2,FIFA World Cup,group,True,2002
2002-06-05,Germany,Republic of Ireland,1,1,FIFA World Cup,group,True,2002
2002-06-05,Russia,Tunisia,2,0,FIFA World Cup,group,True,2002
2002-06-05,United States,Portugal,3,2,FIFA World Cup,group,True,2002
2002-06-06,Denmark,Senegal,1,1,FIFA World Cup,group,True,2002
2002-06-06,Cameroon,Saudi Arabia,1,0,FIFA World Cup,group,True,2002
2002-06-06,France,Uruguay,0,0,FIFA World Cup,group,True,2002
2002-06-07,Sweden,Nigeria,2,1,FIFA World Cup,group,True,2002
2002-06-07,Spain,Paraguay,3,1,FIFA World Cup,group,True,2002
2002-06-07,Argentina,England,0,1,FIFA World Cup,group,True,2002
2002-06-08,South Africa,Slovenia,1,0,FIFA World Cup,group,True,2002
2002-06-08,Italy,Croatia,1,2,FIFA World Cup,group,True,2002
2002-06-08,Brazil,China,4,0,FIFA World Cup,group,True,2002
2002-06-09,Japan,Russia,1,0,FIFA World Cup,group,True,2002
2002-06-09,Mexico,Ecuador,2,1,FIFA World Cup,group,True,2002
2002-06-09,Costa Rica,Turkey,1,1,FIFA World Cup,group,True,2002
2002-06-10,South Korea,United States,1,1,FIFA World Cup,group,True,2002
2002-06-10,Tunisia,Belgium,1,1,FIFA World Cup,group,True,2002
2002-06-10,Portugal,Poland,4,0,FIFA World Cup,group,True,2002
2002-06-11,Saudi Arabia,Republic of Ireland,0,3,FIFA World Cup,group,True,2002
2002-06-11,Denmark,France,2,0,FIFA World Cup,group,True,2002
2002-06-11,Senegal,Uruguay,3,3,FIFA World Cup,group,True,2002
2002-06-11,Cameroon,Germany,0,2,FIFA World Cup,group,True,2002
2002-06-12,South Africa,Spain,2,3,FIFA World Cup,group,True,2002
2002-06-12,Slovenia,Paraguay,1,3,FIFA World Cup,group,True,2002
2002-06-12,Nigeria,England,0,0,FIFA World Cup,group,True,2002
2002-06-12,Sweden,Argentina,1,1,FIFA World Cup,group,True,2002
2002-06-13,Costa Rica,Brazil,2,5,FIFA World Cup,group,True,2002
2002-06-13,Turkey,China,3,0,FIFA World Cup,group,True,2002
2002-06-13,Ecuador,Croatia,1,0,FIFA World Cup,group,True,2002
2002-06-13,Mexico,Italy,1,1,FIFA World Cup,group,True,2002
2002-06-14,Portugal,South Korea,0,1,FIFA World Cup,group,True,2002
2002-06-14,Belgium,Russia,3,2,FIFA World Cup,group,True,2002
2002-06-14,Tunisia,Japan,0,2,FIFA World Cup,group,True,2002
2002-06-14,Poland,United States,3,1,FIFA World Cup,group,True,2002
2002-06-15,Denmark,England,0,3,FIFA World Cup,round of 16,True,2002
2002-06-15,Germany,Paraguay,1,0,FIFA World Cup,round of 16,True,2002
2002-06-16,Sweden,Senegal,1,2,FIFA World Cup,round of 16,True,2002
2002-06-16,Spain,Republic of Ireland,1,1,FIFA World Cup,round of 16,True,2002
2002-06-17,Mexico,United States,0,2,FIFA World Cup,round of 16,True,2002
2002-06-17,Brazil,Belgium,2,0,FIFA World Cup,round of 16,True,2002
2002-06-18,Japan,Turkey,0,1,FIFA World Cup,round of 16,True,2002
2002-06-18,South Korea,Italy,2,1,FIFA World Cup,round of 16,True,2002
2002-06-21,England,Brazil,1,2,FIFA World Cup,quarter-final,True,2002
2002-06-21,Germany,United States,1,0,FIFA World Cup,quarter-final,True,2002
2002-06-22,Senegal,Turkey,0,1,FIFA World Cup,quarter-final,True,2002
2002-06-22,Spain,South Korea,0,0,FIFA World Cup,quarter-final,True,2002
2002-06-25,Germany,South Korea,1,0,FIFA World Cup,semi-final,True,2002
2002-06-26,Brazil,Turkey,1,0,FIFA World Cup,semi-final,True,2002
2002-06-29,South Korea,Turkey,2,3,FIFA World Cup,third-place,True,2002
2002-06-30,Germany,Brazil,0,2,FIFA World Cup,final,True,2002
2003-09-20,Norway,France,2,0,FIFA World Cup,group,True,2003
2003-09-20,Nigeria,North Korea,0,3,FIFA World Cup,group,True,2003
2003-09-20,Germany,Canada,4,1,FIFA World Cup,group,True,2003
2003-09-20,Japan,Argentina,6,0,FIFA World Cup,group,True,2003
2003-09-21,United States,Sweden,3,1,FIFA World Cup,group,True,2003
2003-09-21,Brazil,South Korea,3,0,FIFA World Cup,group,True,2003
2003-09-21,Australia,Russia,1,2,FIFA World Cup,group,True,2003
2003-09-21,China,Ghana,1,0,FIFA World Cup,group,True,2003
2003-09-24,Canada,Argentina,3,0,FIFA World Cup,group,True,2003
2003-09-24,France,South Korea,1,0,FIFA World Cup,group,True,2003
2003-09-24,Germany,Japan,3,0,FIFA World Cup,group,True,2003
2003-09-24,Norway,Brazil,1,4,FIFA World Cup,group,True,2003
2003-09-25,Ghana,Russia,0,3,FIFA World Cup,group,True,2003
2003-09-25,Sweden,North Korea,1,0,FIFA World Cup,group,True,2003
2003-09-25,China,Australia,1,1,FIFA World Cup,group,True,2003
2003-09-25,United States,Nigeria,5,0,FIFA World Cup,group,True,2003
2003-09-27,France,Brazil,1,1,FIFA World Cup,group,True,2003
2003-09-27,South Korea,Norway,1,7,FIFA World Cup,group,True,2003
2003-09-27,Argentina,Germany,1,6,FIFA World Cup,group,True,2003
2003-09-27,Canada,Japan,3,1,FIFA World Cup,group,True,2003
2003-09-28,China,Russia,1,0,FIFA World Cup,group,True,2003
2003-09-28,Ghana,Australia,2,1,FIFA World Cup,group,True,2003
2003-09-28,Sweden,Nigeria,3,0,FIFA World Cup,group,True,2003
2003-09-28,North Korea,United States,0,3,FIFA World Cup,group,True,2003
2003-10-01,Brazil,Sweden,1,2,FIFA World Cup,group,True,2003
2003-10-01,United States,Norway,1,0,FIFA World Cup,group,True,2003
2003-10-02,Germany,Russia,7,1,FIFA World Cup,group,True,2003
2003-10-02,China,Canada,0,1,FIFA World Cup,group,True,2003
2003-10-05,United States,Germany,0,3,FIFA World Cup,group,True,2003
2003-10-05,Sweden,Canada,2,1,FIFA World Cup,group,True,2003
2003-10-11,United States,Canada,3,1,FIFA World Cup,third-place,True,2003
2003-10-12,Germany,Sweden,2,1,FIFA World Cup,final,True,2003
2006-06-09,Poland,Ecuador,0,2,FIFA World Cup,group,True,2006
2006-06-09,Germany,Costa Rica,4,2,FIFA World Cup,group,True,2006
2006-06-10,England,Paraguay,1,0,FIFA World Cup,group,True,2006
2006-06-10,Trinidad and Tobago,Sweden,0,0,FIFA World Cup,group,True,2006
2006-06-10,Argentina,Ivory Coast,2,1,FIFA World Cup,group,True,2006
2006-06-11,Angola,Portugal,0,1,FIFA World Cup,group,True,2006
2006-06-11,Serbia and Montenegro,Netherlands,0,1,FIFA World Cup,group,True,2006
2006-06-11,Mexico,Iran,3,1,FIFA World Cup,group,True,2006
2006-06-12,United States,Czech Republic,0,3,FIFA World Cup,group,True,2006
2006-06-12,Italy,Ghana,2,0,FIFA World Cup,group,True,2006
2006-06-12,Australia,Japan,3,1,FIFA World Cup,group,True,2006
2006-06-13,Brazil,Croatia,1,0,FIFA World Cup,group,True,2006
2006-06-13,France,Switzerland,0,0,FIFA World Cup,group,True,2006
2006-06-13,South Korea,Togo,2,1,FIFA World Cup,group,True,2006
2006-06-14,Spain,Ukraine,4,0,FIFA World Cup,group,True,2006
2006-06-14,Tunisia,Saudi Arabia,2,2,FIFA World Cup,group,True,2006
2006-06-14,Germany,Poland,1,0,FIFA World Cup,group,True,2006
2006-06-15,Ecuador,Costa Rica,3,0,FIFA World Cup,group,True,2006
2006-06-15,England,Trinidad and Tobago,2,0,FIFA World Cup,group,True,2006
2006-06-15,Sweden,Paraguay,1,0,FIFA World Cup,group,True,2006
2006-06-16,Netherlands,Ivory Coast,2,1,FIFA World Cup,group,True,2006
2006-06-16,Mexico,Angola,0,0,FIFA World Cup,group,True,2006
2006-06-16,Argentina,Serbia and Montenegro,6,0,FIFA World Cup,group,True,2006
2006-06-17,Portugal,Iran,2,0,FIFA World Cup,group,True,2006
2006-06-17,Czech Republic,Ghana,0,2,FIFA World Cup,group,True,2006
2006-06-17,Italy,United States,1,1,FIFA World Cup,group,True,2006
2006-06-18,Japan,Croatia,0,0,FIFA World Cup,group,True,2006
2006-06-18,Brazil,Australia,2,0,FIFA World Cup,group,True,2006
2006-06-18,France,South Korea,1,1,FIFA World Cup,group,True,2006
2006-06-19,Spain,Tunisia,3,1,FIFA World Cup,group,True,2006
2006-06-19,Togo,Switzerland,0,2,FIFA World Cup,group,True,2006
2006-06-19,Saudi Arabia,Ukraine,0,4,FIFA World Cup,group,True,2006
2006-06-20,Paraguay,Trinidad and Tobago,2,0,FIFA World Cup,group,True,2006
2006-06-20,Sweden,England,2,2,FIFA World Cup,group,True,2006
2006-06-20,Costa Rica,Poland,1,2,FIFA World Cup,group,True,2006
2006-06-20,Ecuador,Germany,0,3,FIFA World Cup,group,True,2006
2006-06-21,Iran,Angola,1,1,FIFA World Cup,group,True,2006
2006-06-21,Portugal,Mexico,2,1,FIFA World Cup,group,True,2006
2006-06-21,Ivory Coast,Serbia and Montenegro,3,2,FIFA World Cup,group,True,2006
2006-06-21,Netherlands,Argentina,0,0,FIFA World Cup,group,True,2006
2006-06-22,Czech Republic,Italy,0,2,FIFA World Cup,group,True,2006
2006-06-22,Ghana,United States,2,1,FIFA World Cup,group,True,2006
2006-06-22,Croatia,Australia,2,2,FIFA World Cup,group,True,2006
2006-06-22,Japan,Brazil,1,4,FIFA World Cup,group,True,2006
2006-06-23,Togo,France,0,2,FIFA World Cup,group,True,2006
2006-06-23,Switzerland,South Korea,2,0,FIFA World Cup,group,True,2006
2006-06-23,Saudi Arabia,Spain,0,1,FIFA World Cup,group,True,2006
2006-06-23,Ukraine,Tunisia,1,0,FIFA World Cup,group,True,2006
2006-06-24,Germany,Sweden,2,0,FIFA World Cup,round of 16,True,2006
2006-06-24,Argentina,Mexico,2,1,FIFA World Cup,round of 16,True,2006
2006-06-25,England,Ecuador,1,0,FIFA World Cup,round of 16,True,2006
2006-06-25,Portugal,Netherlands,1,0,FIFA World Cup,round of 16,True,2006
2006-06-26,Italy,Australia,1,0,FIFA World Cup,round of 16,True,2006
2006-06-26,Switzerland,Ukraine,0,0,FIFA World Cup,round of 16,True,2006
2006-06-27,Brazil,Ghana,3,0,FIFA World Cup,round of 16,True,2006
2006-06-27,Spain,France,1,3,FIFA World Cup,round of 16,True,2006
2006-06-30,Italy,Ukraine,3,0,FIFA World Cup,quarter-final,True,2006
2006-06-30,Germany,Argentina,1,1,FIFA World Cup,quarter-final,True,2006
2006-07-01,Brazil,France,0,1,FIFA World Cup,quarter-final,True,2006
2006-07-01,England,Portugal,0,0,FIFA World Cup,quarter-final,True,2006
2006-07-04,Germany,Italy,0,2,FIFA World Cup,semi-final,True,2006
2006-07-05,Portugal,France,0,1,FIFA World Cup,semi-final,True,2006
2006-07-08,Germany,Portugal,3,1,FIFA World Cup,third-place,True,2006
2006-07-09,Italy,France,1,1,FIFA World Cup,final,True,2006
2007-09-10,Germany,Argentina,11,0,FIFA World Cup,group,True,2007
2007-09-11,United States,North Korea,2,2,FIFA World Cup,group,True,2007
2007-09-11,Japan,England,2,2,FIFA World Cup,group,True,2007
2007-09-11,Nigeria,Sweden,1,1,FIFA World Cup,group,True,2007
2007-09-12,Norway,Canada,2,1,FIFA World Cup,group,True,2007
2007-09-12,China,Denmark,3,2,FIFA World Cup,group,True,2007
2007-09-12,Ghana,Australia,1,4,FIFA World Cup,group,True,2007
2007-09-12,New Zealand,Brazil,0,5,FIFA World Cup,group,True,2007
2007-09-14,Argentina,Japan,0,1,FIFA World Cup,group,True,2007
2007-09-14,Sweden,United States,0,2,FIFA World Cup,group,True,2007
2007-09-14,England,Germany,0,0,FIFA World Cup,group,True,2007
2007-09-14,North Korea,Nigeria,2,0,FIFA World Cup,group,True,2007
2007-09-15,Canada,Ghana,4,0,FIFA World Cup,group,True,2007
2007-09-15,Denmark,New Zealand,2,0,FIFA World Cup,group,True,2007
2007-09-15,Australia,Norway,1,1,FIFA World Cup,group,True,2007
2007-09-15,Brazil,China,4,0,FIFA World Cup,group,True,2007
2007-09-17,Germany,Japan,2,0,FIFA World Cup,group,True,2007
2007-09-17,England,Argentina,6,1,FIFA World Cup,group,True,2007
2007-09-18,North Korea,Sweden,1,2,FIFA World Cup,group,True,2007
2007-09-18,Nigeria,United States,0,1,FIFA World Cup,group,True,2007
2007-09-20,Australia,Canada,2,2,FIFA World Cup,group,True,2007
2007-09-20,Norway,Ghana,7,2,FIFA World Cup,group,True,2007
2007-09-20,Brazil,Denmark,1,0,FIFA World Cup,group,True,2007
2007-09-20,China,New Zealand,2,0,FIFA World Cup,group,True,2007
2007-09-22,Germany,North Korea,3,0,FIFA World Cup,group,True,2007
2007-09-22,United States,England,3,0,FIFA World Cup,group,True,2007
2007-09-23,Norway,China,1,0,FIFA World Cup,group,True,2007
2007-09-23,Brazil,Australia,3,2,FIFA World Cup,group,True,2007
2007-09-26,Germany,Norway,3,0,FIFA World Cup,group,True,2007
2007-09-27,United States,Brazil,0,4,FIFA World Cup,group,True,2007
2007-09-30,Germany,Brazil,2,0,FIFA World Cup,final,True,2007
2007-09-30,Norway,United States,1,4,FIFA World Cup,third-place,True,2007
2010-06-11,South Africa,Mexico,1,1,FIFA World Cup,group,True,2010
2010-06-11,Uruguay,France,0,0,FIFA World Cup,group,True,2010
2010-06-12,South Korea,Greece,2,0,FIFA World Cup,group,True,2010
2010-06-12,Argentina,Nigeria,1,0,FIFA World Cup,group,True,2010
2010-06-12,England,United States,1,1,FIFA World Cup,group,True,2010
2010-06-13,Algeria,Slovenia,0,1,FIFA World Cup,group,True,2010
2010-06-13,Serbia,Ghana,0,1,FIFA World Cup,group,True,2010
2010-06-13,Germany,Australia,4,0,FIFA World Cup,group,True,2010
2010-06-14,Japan,Cameroon,1,0,FIFA World Cup,group,True,2010
2010-06-14,Italy,Paraguay,1,1,FIFA World Cup,group,True,2010
2010-06-14,Netherlands,Denmark,2,0,FIFA World Cup,group,True,2010
